asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,98061,0,0,0,0,0.0,0.0,0.0,0,0
ATM,10,21,17,random,212,5,25,24,77,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,98590,1,1,0,0,0.8,0.14285715,0.0,0,0
CashPoint,5,7,7,random,7,1,2,0,4,1.0,0.5,0.2857143,1,0
CashRegister,8,12,22,evoavalla,76677,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,7,4,8,8,10,0.75,0.5416667,0.3181818,0,0
CoffeeVendingMachine,2,6,2,evoavalla,75812,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,7,4,8,4,16,1.0,0.25,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,1417,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,74912,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,2,2,4,2,0,0.2,0.125,0.0,0,0
Counter,5,4,4,atgt,1310,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,80301,2,2,4,17,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,8,2,4,4,12,1.0,0.375,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,80687,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,9,2,4,2,6,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,atgt,650,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,104,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,82045,6,19,25,175,1.0,0.5555556,0.47368422,0,0
LandingGearSystem,4,9,38,random,25,6,20,21,63,1.0,0.33333334,0.15789473,0,0
LandingGearSystem,4,9,38,atgt,3345,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,74458,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,1,2,6,4,11,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,623,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,83211,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,19,24,58,34,86,0.75,0.8333333,0.30769232,0,0
PhdMaster,4,3,52,atgt,2486,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72470,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,1,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,129,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,75483,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,3,4,8,8,20,1.0,0.6,1.0,0,0
Stove,10,11,18,evoavalla,75006,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,77804,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,45,5,25,280,20,1.0,0.875,0.75,0,0
Tcas,1,20,20,atgt,903,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,2545,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,2633,5,500,494,25,1.0,0.5,0.2857143,2,0
CashRegister,8,12,22,random100,164,5,500,87,1764,1.0,0.9583333,0.90909094,0,0
CoffeeVendingMachine,2,6,2,random100,277,5,500,360,640,1.0,1.0,1.0,0,0
Counter,5,4,4,random100,136,5,500,495,899,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,315,5,500,642,1694,1.0,1.0,1.0,0,0
GuessBigNumber,1,3,5,random100,370,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,520,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,3160,5,500,717,2467,1.0,0.5,0.42105263,0,0
Lift,1,6,7,random100,84,5,500,495,997,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,82,5,500,495,993,1.0,1.0,0.8076923,0,0
SafeCombination,1,3,3,random100,107,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,238,5,500,545,1152,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,8,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,1138,5,500,6930,495,1.0,1.0,1.0,0,0
