asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios
Ascensore,1,6,7,evoavalla,84428,2,6,3,16,1.0,0.8333333,1.0,0
Ascensore,1,6,7,random,28,2,6,4,10,1.0,0.6666667,0.71428573,0
Ascensore,1,6,7,atgt,1200,7,11,11,17,1.0,0.8333333,1.0,0
ATM3v2,10,21,17,evoavalla,98072,1,2,8,31,0.6,0.2857143,0.1764706,0
ATM3v2,10,21,17,random,2,1,2,1,5,0.6,0.2857143,0.1764706,0
CashPoint,5,7,7,evoavalla,89416,1,1,0,0,1.0,0.21428572,0.2857143,0
CashPoint,5,7,7,random,14,1,2,0,4,1.0,0.5,0.2857143,1
CoffeeVendingMachineNC,2,6,2,evoavalla,81433,4,4,3,32,1.0,0.75,1.0,0
CoffeeVendingMachineNC,2,6,2,random,23,4,8,7,16,1.0,0.5,1.0,0
CoffeeVendingMachineNC,2,6,2,atgt,2674,7,47,71,108,1.0,1.0,1.0,0
Contatore_U_DA_H,5,4,4,evoavalla,82440,2,2,1,0,0.4,0.375,0.25,0
Contatore_U_DA_H,5,4,4,random,1,2,4,2,2,0.4,0.375,0.25,0
Contatore_U_DA_H,5,4,4,atgt,1334,1,1001,1001,1111,1.0,1.0,1.0,0
Dado,1,4,9,evoavalla,76455,2,2,4,16,1.0,0.5,0.6666667,0
Dado,1,4,9,random,4,2,4,4,10,1.0,0.5,0.44444445,0
Ferryman,3,4,5,evoavalla,76098,2,4,1,30,1.0,0.5,0.4,2
Ferryman,3,4,5,random,6,2,0,0,0,0.0,0.0,0.0,1
GuessBigNumber,1,2,3,random,422,5,25,20,45,1.0,0.5,0.33333334,0
Integer_train,7,9,17,random,549,0,0,0,0,0.0,0.0,0.0,0
LGS_3L,4,9,38,evoavalla,81591,4,9,10,91,1.0,0.2777778,0.31578946,0
LGS_3L,4,9,38,random,3,4,10,6,24,1.0,0.22222222,0.078947365,0
LGS_3L,4,9,38,atgt,2436,22,118,268,644,0.0,0.0,0.0,0
Phd_master_flat2_v1,4,3,52,evoavalla,83056,24,52,51,128,1.0,1.0,1.0,0
Phd_master_flat2_v1,4,3,52,random,17,24,58,34,79,0.75,0.8333333,0.26923078,0
Phd_master_flat2_v1,4,3,52,atgt,2637,34,75,75,126,1.0,1.0,1.0,0
QuickSort,1,0,1,random,60,5,25,0,20,0.0,NaN,0.0,0
RegistroDiCassav4,8,12,22,evoavalla,78544,4,6,9,30,0.75,0.8333333,0.59090906,0
RegistroDiCassav4,8,12,22,random,4,4,8,8,10,0.75,0.6666667,0.3181818,0
SafeCombination,1,3,3,evoavalla,74023,2,2,2,2,1.0,0.8333333,0.6666667,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.8333333,0.6666667,0
SafeCombination,1,3,3,atgt,131,3,11,11,11,1.0,1.0,1.0,0
SiGistica,7,5,6,evoavalla,76636,4,5,6,54,1.0,0.6,1.0,0
SiGistica,7,5,6,random,2,4,8,7,18,1.0,0.6,1.0,0
SmartHome,24,34,25,random,26,5,25,30,390,0.29166666,0.19117647,0.32,5
Stufa,10,11,18,evoavalla,75514,1,1,0,10,0.5,0.27272728,0.11111111,0
Stufa,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0
SwapSortOnSeq,1,0,1,random,17,5,25,0,25,0.0,NaN,0.0,0
Tcas,1,20,20,evoavalla,77529,0,0,0,0,0.0,0.0,0.0,0
Tcas,1,20,20,random,51,5,25,280,20,1.0,0.875,0.75,0
Tcas,1,20,20,atgt,517,10,10,140,10,1.0,1.0,1.0,10
TrafficLightv2,5,5,14,evoavalla,73696,2,31,2,66,1.0,1.0,1.0,0
TrafficLightv2,5,5,14,random,1,2,31,4,62,0.8,0.7,0.64285713,0
TrafficLightv2,5,5,14,atgt,308,7,77,19,152,1.0,0.9,0.85714287,1
LIFT,9,4,11,random,606,5,25,113,103,0.5555556,1.0,0.72727275,0
Population,3,3,7,random,684,5,25,0,220,0.0,0.0,0.0,0
