execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
aggregate_values_Ascensore,Ascensore,r_Main(),6,6.0,3.9,7,7.0,none
aggregate_values_CashPoint,CashPoint,r_main(),0,0.0,0.0,0,0.0,none
aggregate_values_CashPoint,CashPoint,"r_insertedCard(Till,Card)",1,0.9,0.0,2,1.8,none
aggregate_values_CashPoint,CashPoint,r_validPin(Till),2,0.0,0.9,2,0.0,none
aggregate_values_CashPoint,CashPoint,r_insertCard(Till),0,0.0,0.0,0,0.0,none
aggregate_values_CashPoint,CashPoint,r_enterPin(Till),4,0.0,0.9,3,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswer(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_2ErrorGoBack(),1,1.0,1.0,5,5.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_exit(),2,0.0,1.0,2,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrong(),1,1.0,1.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_setCertifier(),1,1.0,1.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_chooseshape(),0,0.0,0.0,4,4.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,1.0,1.0,1,1.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_skip(),1,1.0,1.0,1,1.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_test(),3,3.0,3.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrongAnswer(),1,1.0,1.0,1,1.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0.0,0.0,3,3.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswLoop(),1,1.0,1.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_Main(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_checkanswer(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_level1(),1,1.0,1.0,3,3.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_levelno1(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_goOut(),0,0.0,0.0,2,2.0,none
aggregate_values_CoffeeVendingMachineNC,CoffeeVendingMachineNC,r_serveProduct(Product),0,0.0,0.0,2,2.0,none
aggregate_values_CoffeeVendingMachineNC,CoffeeVendingMachineNC,r_Main(),6,6.0,3.0,0,0.0,none
aggregate_values_Contatore_U_DA_H,Contatore_U_DA_H,r_upUnita(),1,0.2,1.0,1,1.0,none
aggregate_values_Contatore_U_DA_H,Contatore_U_DA_H,r_Contatore(),1,1.0,1.0,0,0.0,none
aggregate_values_Dado,Dado,r_Main(),4,2.2,2.1,9,6.3,none
aggregate_values_Ferryman,Ferryman,r_MoveCarry(),2,2.0,0.0,2,1.0,none
aggregate_values_Ferryman,Ferryman,r_MoveFerryman(),1,1.0,0.0,2,1.0,none
aggregate_values_Ferryman,Ferryman,r_ferrymanProblem(),1,0.0,1.0,1,0.0,none
aggregate_values_Forno,Forno,r_Main(),4,4.0,4.0,7,7.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Unassociated(),0,0.0,0.0,14,14.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Main(),3,3.0,3.0,0,0.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Operating(),0,0.0,0.0,18,18.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Disassociating(),0,0.0,0.0,20,20.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_takeInTimeout(),1,1.0,0.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_drawerOpened(),1,1.0,1.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_Main(),16,15.0,14.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_drawerClosed(),0,0.0,0.0,4,4.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_timeOutExpired_drawerOpened(),0,0.0,0.0,5,5.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_pillToBeTaken(),1,1.0,0.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_timeOutExpired_missedPill(),0,0.0,0.0,5,5.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_writeToFile(),0,0.0,0.0,0,0.0,none
aggregate_values_RailroadGate,RailroadGate,r_Main(),2,1.7,2.0,4,3.7,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_altraPizzaSelezionata(),1,0.0,1.0,1,0.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_attendiOrdinazioni(),3,3.0,3.0,5,5.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_scegliSeAggiungerePizza(),3,3.0,3.0,4,4.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_pizzaStandardSelezionata(),2,0.0,1.0,4,0.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_scegliTipoDiPizza(),3,3.0,3.0,4,4.0,none
aggregate_values_SiGistica,SiGistica,r_pagamento(),1,1.0,0.0,1,1.0,none
aggregate_values_SiGistica,SiGistica,r_rifornimento(),0,0.0,0.0,1,1.0,none
aggregate_values_SiGistica,SiGistica,r_info(),1,1.0,0.0,1,1.0,none
aggregate_values_SiGistica,SiGistica,r_officina(UffLog),3,2.0,2.0,2,2.0,none
aggregate_values_SiGistica,SiGistica,r_choosePag(),0,0.0,0.0,0,0.0,none
aggregate_values_SiGistica,SiGistica,r_autista(),0,0.0,0.0,1,1.0,none
aggregate_values_SiGistica,SiGistica,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_Stufa,Stufa,r_accensione_fiamma(),2,0.0,1.0,1,0.0,none
aggregate_values_Stufa,Stufa,r_avvio_ventola_fumi(),2,0.0,1.0,1,0.0,none
aggregate_values_Stufa,Stufa,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_Stufa,Stufa,r_inizio_accensione(),1,0.0,1.0,1,0.0,none
aggregate_values_Stufa,Stufa,r_diminuisci_timer_pellet(),3,0.0,3.0,6,2.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_green(),2,2.0,2.0,5,5.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_red(),1,1.0,1.0,3,3.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_yellow(),1,1.0,1.0,3,3.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_pending(),1,1.0,1.0,3,3.0,none
aggregate_values_ATM3v2,ATM3v2,r_chooseService(),5,0.0,0.4,4,0.0,none
aggregate_values_ATM3v2,ATM3v2,r_enterPin(),2,0.3,0.7,3,0.3,none
aggregate_values_ATM3v2,ATM3v2,r_Main(),2,0.0,0.8,1,0.0,none
aggregate_values_ATM3v2,ATM3v2,r_insertcard(),2,0.8,0.3,2,0.8,none
aggregate_values_ATM3v2,ATM3v2,r_chooseAmount(),3,0.0,0.4,2,0.0,none
aggregate_values_ATM3v2,ATM3v2,r_prelievo(),6,0.0,0.8,0,0.0,none
aggregate_values_Contatore_U_DA_H,Contatore_U_DA_H,r_upDecine(),1,0.0,0.2,1,0.2,none
