execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
exec_Ascensore_1,Ascensore,r_Main(),6,5,2,7,5,none
exec_ATM3v2_4,ATM3v2,r_Main(),2,0,2,1,0,none
exec_ATM3v2_4,ATM3v2,r_chooseAmount(),3,0,1,2,0,none
exec_ATM3v2_4,ATM3v2,r_prelievo(),6,0,2,0,0,none
exec_ATM3v2_4,ATM3v2,r_chooseService(),5,0,1,4,0,none
exec_ATM3v2_4,ATM3v2,r_enterPin(),2,1,2,3,1,none
exec_ATM3v2_4,ATM3v2,r_insertcard(),2,2,1,2,2,none
exec_CashPoint_6,CashPoint,r_main(),0,0,0,0,0,none
exec_CashPoint_6,CashPoint,r_insertCard(Till),0,0,0,0,0,none
exec_CashPoint_6,CashPoint,"r_insertedCard(Till,Card)",1,1,1,2,2,none
exec_CashPoint_6,CashPoint,r_validPin(Till),2,0,1,2,0,none
exec_CashPoint_6,CashPoint,r_enterPin(Till),4,2,2,3,0,none
exec_Cassaforte_8,Cassaforte,r_Main(),2,2,2,2,2,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_checkanswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_skip(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_wrong(),1,1,0,2,1,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_Main(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_setCertifier(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,0,1,1,1,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_test(),3,2,3,0,0,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_exit(),2,0,1,2,0,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0,0,3,3,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_wrongAnswer(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_rightAnswer(),1,1,0,0,0,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_levelno1(),1,1,0,0,0,none
exec_Certifier_nochoose_noundef_10,Certifier_nochoose_noundef,r_chooseshape(),0,0,0,4,4,none
exec_CoffeeVendingMachineNC_13,CoffeeVendingMachineNC,r_Main(),6,3,0,0,0,none
exec_CoffeeVendingMachineNC_13,CoffeeVendingMachineNC,r_serveProduct(Product),0,0,0,2,2,none
exec_Contatore_U_DA_H_15,Contatore_U_DA_H,r_upUnita(),1,0,1,1,1,none
exec_Contatore_U_DA_H_15,Contatore_U_DA_H,r_Contatore(),1,1,1,0,0,none
exec_Dado_17,Dado,r_Main(),4,2,2,9,6,none
exec_Ferryman_19,Ferryman,r_MoveFerryman(),1,1,1,2,2,none
exec_Ferryman_19,Ferryman,r_ferrymanProblem(),1,0,1,1,0,none
exec_Ferryman_19,Ferryman,r_MoveCarry(),2,2,1,2,2,none
exec_Forno_21,Forno,r_Main(),4,2,4,7,3,none
exec_LIFT_23,LIFT,"r_CancelRequest(Floor,Dir,Lift)",0,0,0,2,2,none
exec_LIFT_23,LIFT,r_costraintCallFromTo(),0,0,0,1,1,none
exec_LIFT_23,LIFT,r_costraintHasToDeliver(),0,0,0,1,1,none
exec_LIFT_23,LIFT,"r_Fsm(Lift,State,Boolean,Rule(Lift),State)",1,1,1,1,1,none
exec_LIFT_23,LIFT,r_Main(),3,3,3,3,3,none
exec_Phd_master_flat2_v1_25,Phd_master_flat2_v1,r_Unassociated(),0,0,0,14,14,none
exec_Phd_master_flat2_v1_25,Phd_master_flat2_v1,r_Main(),3,3,3,0,0,none
exec_Phd_master_flat2_v1_25,Phd_master_flat2_v1,r_Operating(),0,0,0,18,10,none
exec_Phd_master_flat2_v1_25,Phd_master_flat2_v1,r_Disassociating(),0,0,0,20,2,none
exec_Pillbox_1_28,Pillbox_1,r_drawerOpened(),1,1,1,3,3,none
exec_Pillbox_1_28,Pillbox_1,r_Main(),16,13,13,3,3,none
exec_Pillbox_1_28,Pillbox_1,r_timeOutExpired_drawerOpened(),0,0,0,5,5,none
exec_Pillbox_1_28,Pillbox_1,r_pillToBeTaken(),1,1,0,3,3,none
exec_Pillbox_1_28,Pillbox_1,r_writeToFile(),0,0,0,0,0,none
exec_RailroadGate_31,RailroadGate,r_Main(),2,0,2,4,2,none
exec_RegistroDiCassav4_33,RegistroDiCassav4,r_altraPizzaSelezionata(),1,0,1,1,0,none
exec_RegistroDiCassav4_33,RegistroDiCassav4,r_scegliSeAggiungerePizza(),3,3,3,4,4,none
exec_RegistroDiCassav4_33,RegistroDiCassav4,r_pizzaStandardSelezionata(),2,0,1,4,0,none
exec_RegistroDiCassav4_33,RegistroDiCassav4,r_attendiOrdinazioni(),3,3,3,5,5,none
exec_RegistroDiCassav4_33,RegistroDiCassav4,r_scegliTipoDiPizza(),3,1,3,4,0,none
exec_RegistroDiCassav4_33,RegistroDiCassav4,r_Main(),0,0,0,0,0,none
exec_SiGistica_35,SiGistica,r_rifornimento(),0,0,0,1,1,none
exec_SiGistica_35,SiGistica,r_pagamento(),1,1,0,1,1,none
exec_SiGistica_35,SiGistica,r_info(),1,1,0,1,1,none
exec_SiGistica_35,SiGistica,r_officina(UffLog),3,2,2,2,2,none
exec_SiGistica_35,SiGistica,r_Main(),0,0,0,0,0,none
exec_SiGistica_35,SiGistica,r_autista(),0,0,0,1,1,none
exec_SiGistica_35,SiGistica,r_choosePag(),0,0,0,0,0,none
exec_SIS_36,SIS,r_Main(),0,0,0,0,0,none
exec_SIS_36,SIS,r_1(),1,1,1,1,1,none
exec_SIS_36,SIS,r_wp(),2,2,2,3,3,none
exec_SIS_36,SIS,r_4(),1,0,1,2,0,none
exec_SIS_36,SIS,r_5(),1,1,1,1,1,none
exec_SIS_36,SIS,r_2(),1,1,1,2,2,none
exec_SIS_36,SIS,r_3(),1,0,1,1,0,none
exec_SIS_36,SIS,r_6(),1,1,1,1,1,none
exec_SIS_36,SIS,r_7(),2,2,2,2,2,none
exec_SmartHome_38,SmartHome,r_Main(),2,2,0,1,1,C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest6.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest0.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest2.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest4.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest8.avalla
exec_SmartHome_38,SmartHome,r_checkHotWaterMorningMAPE_MWH(),1,1,0,1,1,C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest6.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest0.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest2.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest4.avalla;C:UsersisaacDocumentsGitHubasmeta-workspaceasmetacodeexperimentalasmeta.evotestasmeta.evotest.experimentssrcmainresourcesrandomtestsSmartHometesttest8.avalla
