AsmSpec,Scenario,Steps
Ascensore,1,2
Ascensore,2,1
Ascensore,3,2
CashPoint,1,1
Certifier_nochoose_noundef,1,9
Certifier_nochoose_noundef,2,6
Certifier_nochoose_noundef,3,5
Certifier_nochoose_noundef,4,3
Certifier_nochoose_noundef,5,3
Certifier_nochoose_noundef,6,7
CoffeeVendingMachineNC,1,1
CoffeeVendingMachineNC,2,1
CoffeeVendingMachineNC,3,1
CoffeeVendingMachineNC,4,1
Contatore_U_DA_H,1,10
Contatore_U_DA_H,2,1
Dado,1,1
Dado,2,1
Ferryman,1,1
Ferryman,2,3
Forno,1,2
Forno,2,1
Forno,3,3
Phd_master_flat2_v1,1,1
Phd_master_flat2_v1,2,1
Phd_master_flat2_v1,3,2
Phd_master_flat2_v1,4,2
Phd_master_flat2_v1,5,2
Phd_master_flat2_v1,6,3
Phd_master_flat2_v1,7,3
Phd_master_flat2_v1,8,3
Phd_master_flat2_v1,9,3
Phd_master_flat2_v1,10,3
Phd_master_flat2_v1,11,3
Phd_master_flat2_v1,12,3
Phd_master_flat2_v1,13,1
Phd_master_flat2_v1,14,3
Phd_master_flat2_v1,15,3
Phd_master_flat2_v1,16,3
Phd_master_flat2_v1,17,1
Phd_master_flat2_v1,18,1
Phd_master_flat2_v1,19,1
Phd_master_flat2_v1,20,2
Phd_master_flat2_v1,21,2
Phd_master_flat2_v1,22,2
Phd_master_flat2_v1,23,2
Phd_master_flat2_v1,24,2
Pillbox_1,1,4
Pillbox_1,2,5
Pillbox_1,3,5
RailroadGate,1,1
RailroadGate,2,1
RailroadGate,3,1
RegistroDiCassav4,1,2
RegistroDiCassav4,2,2
RegistroDiCassav4,3,1
RegistroDiCassav4,4,1
SiGistica,1,1
SiGistica,2,1
SiGistica,3,1
SiGistica,4,2
Stufa,1,1
TrafficLightv2,1,8
TrafficLightv2,2,9
