asm_path,iteration,status,iteration_exec_time_ms,generation_exec_time_ms,correct_scenarios,n_step,n_set,n_check,failing_scenarios,validation_error_scenarios,tot_mutants,n_killed_mutants_cumulativa,idx_killed_mutants_cumulative
asm_examples/examples/simple_example/population.asm,IT1,OK,3137,1485,0,0,0,0,0,10,2,0,
asm_examples/examples/simple_example/population.asm,IT2,OK,10779,9581,0,0,0,0,0,20,2,0,
asm_examples/examples/simple_example/population.asm,IT3,OK,40811,39661,0,0,0,0,0,30,2,0,
asm_examples/examples/simple_example/population.asm,IT4,OK,116067,114580,0,0,0,0,0,40,2,0,
asm_examples/examples/simple_example/population.asm,IT5,OK,246658,244845,0,0,0,0,0,50,2,0,
asm_examples/examples/simple_example/population.asm,ALL,OK,417452,410152,0,0,0,0,0,150,2,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT1,OK,9036,300,10,100,100,528,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT2,OK,14253,440,20,400,400,2247,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT3,OK,25947,793,30,900,900,5374,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT4,OK,41278,1649,40,1600,1600,9521,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT5,OK,63232,3198,50,2500,2500,15925,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT6,OK,89261,5349,60,3600,3600,22992,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT7,OK,121331,8439,70,4900,4900,31523,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT8,OK,163080,12520,80,6400,6400,42004,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,IT9,OK,209801,17782,90,8100,8100,53681,0,0,15,0,
asm_examples/examples/landingGearSystem/LGS_EV.asm,ALL,OK,737219,50470,450,28500,28500,183795,0,0,15,0,
asm_examples/PillBox/Level1/pillbox_1.asm,IT1,OK,6126,129,10,100,45,768,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT2,OK,8501,43,20,400,95,3092,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT3,OK,13587,54,30,900,144,6814,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT4,OK,21431,64,40,1600,193,12120,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT5,OK,31332,74,50,2500,238,18854,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT6,OK,43262,94,60,3600,280,27180,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT7,OK,57877,121,70,4900,332,36894,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT8,OK,76066,146,80,6400,386,48848,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT9,OK,95671,172,90,8100,424,60762,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT10,OK,118510,206,100,10000,471,75012,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,IT11,OK,145616,312,110,12100,518,91928,0,0,8,1,7
asm_examples/PillBox/Level1/pillbox_1.asm,ALL,OK,617979,1415,660,50600,3126,382272,0,0,8,1,7
asm_examples/examples/RushHour/RushHourMon.asm,IT1,OK,7821,3559,10,100,200,422,0,0,1,0,
asm_examples/examples/RushHour/RushHourMon.asm,IT2,OK,24238,18896,20,400,800,912,0,0,1,0,
asm_examples/examples/RushHour/RushHourMon.asm,IT3,OK,69450,59995,30,900,1800,1466,0,0,1,0,
asm_examples/examples/RushHour/RushHourMon.asm,IT4,OK,152406,137237,40,1600,3200,2264,0,0,1,0,
asm_examples/examples/RushHour/RushHourMon.asm,IT5,OK,287312,265288,50,2500,5000,3032,0,0,1,0,
asm_examples/examples/RushHour/RushHourMon.asm,IT6,OK,485553,454615,60,3600,7200,3906,0,0,1,0,
asm_examples/examples/RushHour/RushHourMon.asm,ALL,OK,1026780,939590,210,9100,18200,12002,0,0,1,0,
asm_examples/examples/RushHour/RushHour.asm,IT1,OK,8426,3694,10,100,0,560,0,0,1,0,
asm_examples/examples/RushHour/RushHour.asm,IT2,OK,26400,19600,20,400,0,1520,0,0,1,0,
asm_examples/examples/RushHour/RushHour.asm,IT3,OK,74815,61420,30,900,0,2880,0,0,1,0,
asm_examples/examples/RushHour/RushHour.asm,IT4,OK,163571,141237,40,1600,0,4640,0,0,1,0,
asm_examples/examples/RushHour/RushHour.asm,IT5,OK,304958,271259,50,2500,0,6800,0,0,1,0,
