asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score
../../../asm_examples/PHD/phd_master_flat2_v2.asm,phd_master_flat2_v2,64,144,0,67,338,evoavalla-random4ea,OK,0.0,98,220,217,831,1.0,0.6319444,NaN,0.8955224,0.8964497,0,0,NaN,NaN,0.9701493,0.9402985,NaN,0.015625,NaN,0.74852073
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight3/TrafficLight_3.asm,TrafficLight_3,14,35,0,23,88,evoavalla-random4ea,OK,0.0,8,28,26,138,1.0,0.9714286,NaN,0.7826087,1.0,0,0,NaN,NaN,1.0,0.375,NaN,0.0625,NaN,0.9886364
../../../asm_examples/stereoacuity/certifierGround.asm,certifierGround,12,12,0,7,36,evoavalla-random4ea,OK,0.0,8,26,10,155,1.0,0.9166667,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.0,NaN,0.9722222
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnumFlat.asm,oneWayTrafficLightUsingEnumFlat,5,12,0,8,29,evoavalla-random4ea,OK,0.0,4,10,9,42,1.0,1.0,NaN,0.8125,1.0,0,0,NaN,NaN,1.0,0.625,NaN,0.0,NaN,1.0
../../../asm_examples/examples/simple_example/AdvancedClock2.asm,AdvancedClock2,2,3,0,3,9,evoavalla-random4ea,OK,0.0,4,20,11,3,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,0.33333334,0.33333334,NaN,0.0,NaN,0.33333334
../../../asm_examples/stereoacuity/certifier_nochoose.asm,certifier_nochoose,16,24,0,15,66,evoavalla-random4ea,OK,0.0,16,64,36,459,1.0,0.875,NaN,1.0,1.0,0,0,NaN,NaN,1.0,0.96666664,NaN,0.125,NaN,0.95384616
../../../asm_examples/examples/landingGearSystem/LGS_EV.asm,LGS_EV,4,38,0,3,60,evoavalla-random4ea,OK,0.0,14,66,47,438,1.0,1.0,NaN,1.0,1.0,0,0,1.0,NaN,1.0,1.0,NaN,0.0,NaN,1.0
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight4/TrafficLight_4.asm,TrafficLight_4,13,11,0,17,60,evoavalla-random4ea,OK,0.0,8,28,26,157,1.0,0.90909094,NaN,0.85294116,1.0,0,0,NaN,NaN,1.0,0.5,NaN,0.09090909,NaN,0.98333335
../../../asm_examples/stereoacuity/certifier_nochoose_noundef.asm,certifier_nochoose_noundef,17,28,0,17,74,evoavalla-random4ea,OK,0.0,22,70,42,567,1.0,0.89285713,NaN,0.9411765,1.0,0,0,1.0,NaN,1.0,0.90625,NaN,0.22222222,NaN,0.9594595
../../../asm_examples/examples/landingGearSystem/LGS_SE.asm,LGS_SE,4,38,0,9,66,evoavalla-random4ea,OK,0.0,14,66,73,434,1.0,1.0,NaN,0.7777778,1.0,0,0,1.0,NaN,1.0,0.6666667,NaN,0.0,NaN,1.0
../../../asm_examples/PHD/phd_master_flat2_v0.asm,phd_master_flat2_v0,27,52,0,26,131,evoavalla-random4ea,OK,0.0,48,104,103,235,1.0,0.78846157,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.037037037,NaN,0.9160305
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight0/TrafficLight_0.asm,TrafficLight_0,7,10,0,7,33,evoavalla-random4ea,OK,0.0,6,12,11,60,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,0.85714287,NaN,0.0,NaN,1.0
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight2/TrafficLight_2.asm,TrafficLight_2,14,23,0,23,76,evoavalla-random4ea,OK,0.0,8,28,26,137,1.0,0.95652175,NaN,0.7826087,1.0,0,0,NaN,NaN,1.0,0.375,NaN,0.0625,NaN,0.9868421
../../../asm_examples/PHD/phd_master_flat2_v6.asm,phd_master_flat2_v6,6,152,0,14,253,evoavalla-random4ea,OK,0.0,138,336,339,810,1.0,0.69078946,NaN,1.0,0.94071144,0,0,0.6527778,NaN,1.0,1.0,NaN,0.0121951215,NaN,0.7798507
../../../asm_examples/PHD/phd_master_flat2_v3.asm,phd_master_flat2_v3,66,148,0,69,348,evoavalla-random4ea,OK,0.0,98,210,207,812,1.0,0.6013514,NaN,0.884058,0.87931037,0,0,NaN,NaN,0.9710145,0.942029,NaN,0.015151516,NaN,0.72988504
../../../asm_examples/examples/simple_example/AdvancedClock.asm,AdvancedClock,2,3,0,2,8,evoavalla-random4ea,OK,0.0,2,2,0,2,0.5,0.33333334,NaN,0.25,0.375,0,0,NaN,NaN,0.0,0.0,NaN,0.0,NaN,0.25
../../../asm_examples/stereoacuity/certifierRaff5ForSMTproof.asm,certifierRaff5ForSMTproof,15,24,0,13,61,evoavalla-random4ea,OK,0.0,8,32,26,267,0.93333334,0.5416667,NaN,0.84615386,0.8032787,0,0,1.0,NaN,1.0,0.7916667,NaN,0.14285715,NaN,0.75409836
../../../asm_examples/examples/landingGearSystem/LGS_GM.asm,LGS_GM,4,15,0,3,22,evoavalla-random4ea,OK,0.0,12,72,49,168,1.0,1.0,NaN,1.0,1.0,0,0,1.0,NaN,1.0,1.0,NaN,NaN,NaN,1.0
../../../asm_examples/examples/hemodialysisDevice/SCP2017/HemodialysisGround.asm,HemodialysisGround,5,2,0,3,11,evoavalla-random4ea,OK,0.0,2,6,0,8,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,0.6666667,0.6666667,NaN,1.0,NaN,0.8
../../../asm_examples/examples/simple_example/AdvancedClockDeciSecond.asm,AdvancedClockDeciSecond,2,4,0,3,11,evoavalla-random4ea,OK,0.0,2,20,0,13,0.5,0.5,NaN,0.5,0.54545456,0,0,NaN,NaN,0.33333334,0.33333334,NaN,0.0,NaN,0.45454547
../../../asm_examples/examples/traffic_light/oneWayTrafficLightOnlyPassedFlat.asm,oneWayTrafficLightOnlyPassedFlat,5,12,0,5,26,evoavalla-random4ea,OK,0.0,2,8,5,40,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.2,NaN,1.0
../../../asm_examples/examples/parkingSimple.asm,parkingSimple,1,2,0,2,4,evoavalla-random4ea,OK,0.0,4,6,10,5,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,0.6666667,NaN,NaN,NaN,0.75
../../../asm_examples/examples/traffic_light/oneWayTrafficLightOnlyPassed.asm,oneWayTrafficLightOnlyPassed,5,12,0,5,26,evoavalla-random4ea,OK,0.0,2,8,5,42,1.0,1.0,NaN,0.9,1.0,0,0,NaN,NaN,1.0,0.8,NaN,0.2,NaN,1.0
../../../asm_examples/unibgstudents/Prova.asm,Prova,3,2,0,4,9,evoavalla-random4ea,OK,0.0,4,6,5,10,1.0,1.0,NaN,0.875,1.0,0,0,NaN,NaN,1.0,0.75,NaN,1.0,NaN,1.0
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_GM.asm,Hemodialysis_GM,5,2,0,3,11,evoavalla-random4ea,OK,0.0,2,6,0,8,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,0.6666667,0.6666667,NaN,1.0,NaN,0.8
../../../asm_examples/examples/landingGearSystem/LGS_EV_v2.asm,LGS_EV_v2,4,38,0,3,60,evoavalla-random4ea,OK,0.0,14,66,47,422,1.0,1.0,NaN,1.0,1.0,0,0,1.0,NaN,1.0,1.0,NaN,0.0,NaN,1.0
../../../asm_examples/examples/sensorVotingSimpleVersion.asm,sensorVotingSimpleVersion,2,5,0,4,12,evoavalla-random4ea,OK,0.0,6,6,13,9,1.0,0.8,NaN,0.875,1.0,0,0,NaN,NaN,0.5,0.33333334,NaN,0.0,NaN,0.0
../../../asm_examples/examples/landingGearSystem/LGS_GM_withError.asm,LGS_GM_withError,4,15,0,3,22,evoavalla-random4ea,OK,0.0,12,60,42,144,1.0,1.0,NaN,1.0,1.0,0,0,1.0,NaN,1.0,1.0,NaN,NaN,NaN,1.0
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnum.asm,oneWayTrafficLightUsingEnum,5,12,0,8,29,evoavalla-random4ea,OK,0.0,4,10,9,46,1.0,1.0,NaN,0.875,1.0,0,0,NaN,NaN,1.0,0.75,NaN,0.0,NaN,1.0
