asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score,casemutator_count,chooserulemutator_count,condnegator_count,condremover_count,forallmutator_count,partoseqmutator_count,seqtoparmutator_count,ruleremover_count
../../../asm_examples/stereoacuity/certifierRaff2.asm,certifierRaff2,14,18,0,10,50,iterativerandom,OK,49.0,30,500,102,3109,1.0,1.0,NaN,0.95,0.98,0,0,NaN,NaN,1.0,0.95,NaN,0.0,NaN,0.97959185,0,0,10,20,0,6,0,49
../../../asm_examples/examples/RushHour/RushHourForAsmetaSMV.asm,RushHourForAsmetaSMV,2,2,1,5,9,iterativerandom,NO_VALID_SCENARIOS,14305.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,1,3,3,3,1,0,9
../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrick.asm,GilbreathCardTrick,5,17,2,12,45,iterativerandom,NO_VALID_SCENARIOS,14834.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,2,3,7,13,6,7,0,46
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_ref3_par.asm,Hemodialysis_ref3_par,107,110,0,142,444,iterativerandom,OK,10.0,10,100,109,292,0.07476635,0.018181818,NaN,0.08802817,0.072072074,0,0,NaN,NaN,0.09859155,0.08163265,NaN,0.01754386,NaN,0.029680366,0,0,142,147,0,57,0,438
../../../asm_examples/examples/simple_example/FLIP_FLOP_0.asm,FLIP_FLOP_0,2,2,0,1,6,iterativerandom,OK,15.0,30,500,0,500,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,0.0,0.5,NaN,NaN,1.0,0.5,0,0,1,2,0,0,1,6
../../../asm_examples/examples/RushHour/RushHourMonForAsmetaSMV.asm,RushHourMonForAsmetaSMV,2,2,1,5,10,iterativerandom,OK,877.0,1,10,20,36,0.5,0.0,0.0,0.2,0.3,0,0,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0,0,4,4,3,1,0,10
../../../asm_examples/examples/battleship.asm,battleship,1,4,0,4,10,iterativerandom,OK,76.0,30,500,0,770,1.0,0.5,NaN,0.625,1.0,0,0,NaN,0.0,1.0,0.6666667,NaN,0.0,NaN,0.6,0,2,2,3,0,2,0,10
../../../asm_examples/examples/flashProtocol/flashProtocol_N2_L1_Q1.asm,flashProtocol_N2_L1_Q1,27,91,22,91,275,iterativerandom,NO_VALID_SCENARIOS,1414.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,69,86,66,43,0,278
../../../asm_examples/examples/production_cell/ert.asm,ert,5,4,1,5,14,iterativerandom,NO_VALID_SCENARIOS,1.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,4,4,3,0,1,14
../../../asm_examples/examples/ermts_etcs/scenarios/ertms_hl3_scenario7.asm,ertms_hl3_scenario7,24,98,31,100,274,iterativerandom,NO_VALID_SCENARIOS,9937.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,10,0,69,82,93,46,1,279
