AsmSpec,Scenario,Steps
Ascensore,1,0
Ascensore,2,0
Ascensore,3,3
Ascensore,4,3
Ascensore,5,2
Ascensore,6,0
Ascensore,7,3
Certifier_nochoose_noundef,1,3
Certifier_nochoose_noundef,2,0
Certifier_nochoose_noundef,3,0
Certifier_nochoose_noundef,4,2
Certifier_nochoose_noundef,5,1
Certifier_nochoose_noundef,6,2
Certifier_nochoose_noundef,7,2
Certifier_nochoose_noundef,8,7
Certifier_nochoose_noundef,9,8
Certifier_nochoose_noundef,10,7
Certifier_nochoose_noundef,11,8
Certifier_nochoose_noundef,12,3
Certifier_nochoose_noundef,13,5
Certifier_nochoose_noundef,14,9
Certifier_nochoose_noundef,15,7
Certifier_nochoose_noundef,16,7
Certifier_nochoose_noundef,17,8
Certifier_nochoose_noundef,18,3
Certifier_nochoose_noundef,19,3
Certifier_nochoose_noundef,20,7
Certifier_nochoose_noundef,21,8
Certifier_nochoose_noundef,22,7
Certifier_nochoose_noundef,23,8
Certifier_nochoose_noundef,24,3
Certifier_nochoose_noundef,25,5
Certifier_nochoose_noundef,26,4
Certifier_nochoose_noundef,27,5
Certifier_nochoose_noundef,28,2
Certifier_nochoose_noundef,29,2
Certifier_nochoose_noundef,30,3
Forno,1,3
Forno,2,4
Forno,3,3
Forno,4,0
Phd_master_flat2_v1,1,1
Phd_master_flat2_v1,2,3
Phd_master_flat2_v1,3,4
Phd_master_flat2_v1,4,4
Phd_master_flat2_v1,5,4
Phd_master_flat2_v1,6,0
Phd_master_flat2_v1,7,4
Phd_master_flat2_v1,8,4
Phd_master_flat2_v1,9,4
Phd_master_flat2_v1,10,4
Phd_master_flat2_v1,11,0
Phd_master_flat2_v1,12,4
Phd_master_flat2_v1,13,0
Phd_master_flat2_v1,14,4
Phd_master_flat2_v1,15,4
Phd_master_flat2_v1,16,3
Phd_master_flat2_v1,17,3
Phd_master_flat2_v1,18,3
Phd_master_flat2_v1,19,3
Phd_master_flat2_v1,20,3
Phd_master_flat2_v1,21,0
Phd_master_flat2_v1,22,3
Phd_master_flat2_v1,23,0
Phd_master_flat2_v1,24,3
Phd_master_flat2_v1,25,0
Phd_master_flat2_v1,26,3
Phd_master_flat2_v1,27,0
Phd_master_flat2_v1,28,2
Phd_master_flat2_v1,29,0
Phd_master_flat2_v1,30,3
Phd_master_flat2_v1,31,0
Phd_master_flat2_v1,32,0
Phd_master_flat2_v1,33,2
Phd_master_flat2_v1,34,0
Pillbox_1,1,1
Pillbox_1,2,5
Pillbox_1,3,0
Pillbox_1,4,0
Pillbox_1,5,4
Pillbox_1,6,0
Pillbox_1,7,5
Pillbox_1,8,5
Pillbox_1,9,2
Pillbox_1,10,3
Pillbox_1,11,0
Pillbox_1,12,3
Pillbox_1,13,0
Pillbox_1,14,0
Pillbox_1,15,0
Pillbox_1,16,0
Pillbox_1,17,0
Pillbox_1,18,3
Pillbox_1,19,4
Pillbox_1,20,0
Pillbox_1,21,0
SIS,1,5
SIS,2,6
SIS,3,5
SIS,4,5
SIS,5,0
SIS,6,3
SIS,7,5
SIS,8,2
