execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
aggregate_values_Ascensore,Ascensore,r_Main(),6,6.0,4.0,7,7.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0.0,0.0,3,3.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_setCertifier(),1,1.0,1.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,1.0,1.0,1,1.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_skip(),1,1.0,1.0,1,1.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_chooseshape(),0,0.0,0.0,4,4.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_level1(),1,1.0,1.0,3,3.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrong(),1,1.0,1.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswLoop(),1,1.0,1.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswer(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrongAnswer(),1,1.0,1.0,1,1.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_checkanswer(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_Main(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_test(),3,3.0,3.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_levelno1(),1,1.0,1.0,0,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_exit(),2,0.0,1.0,2,0.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_goOut(),0,0.0,0.0,2,2.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_2ErrorGoBack(),1,1.0,1.0,5,5.0,none
aggregate_values_Forno,Forno,r_Main(),4,4.0,4.0,7,7.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Disassociating(),0,0.0,0.0,20,20.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Unassociated(),0,0.0,0.0,14,14.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Main(),3,3.0,3.0,0,0.0,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Operating(),0,0.0,0.0,18,18.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_drawerOpened(),1,1.0,1.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_writeToFile(),0,0.0,0.0,0,0.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_timeOutExpired_missedPill(),0,0.0,0.0,5,5.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_drawerClosed(),0,0.0,0.0,4,4.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_takeInTimeout(),1,1.0,0.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_timeOutExpired_drawerOpened(),0,0.0,0.0,5,5.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_Main(),16,15.0,15.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_pillToBeTaken(),1,1.0,0.0,3,3.0,none
aggregate_values_SIS,SIS,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_SIS,SIS,r_wp(),2,2.0,2.0,3,3.0,none
aggregate_values_SIS,SIS,r_7(),2,2.0,2.0,2,2.0,none
aggregate_values_SIS,SIS,r_5(),1,1.0,1.0,1,1.0,none
aggregate_values_SIS,SIS,r_6(),1,1.0,1.0,1,1.0,none
aggregate_values_SIS,SIS,r_3(),1,1.0,1.0,1,1.0,none
aggregate_values_SIS,SIS,r_4(),1,1.0,1.0,2,2.0,none
aggregate_values_SIS,SIS,r_1(),1,1.0,1.0,1,1.0,none
aggregate_values_SIS,SIS,r_2(),1,1.0,1.0,2,2.0,none
