GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report.aggregate/asmeta.emf,primitivetypes.impl,PrimitivetypesPackageImpl,29,302,10,14,4,77,14,10,4,8
report.aggregate/asmeta.emf,primitivetypes.impl,PrimitivetypesFactoryImpl,192,15,15,1,35,6,30,2,17,2
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules,BasictransitionrulesPackage.Literals,118,0,0,0,39,0,1,0,1,0
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules,BasictransitionrulesPackage,0,3,0,0,0,1,0,1,0,1
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules,BasictransitionrulesFactory,0,3,0,0,0,1,0,1,0,1
report.aggregate/asmeta.emf,asmeta.transitionrules.turbotransitionrules,TurbotransitionrulesPackage,0,3,0,0,0,1,0,1,0,1
report.aggregate/asmeta.emf,asmeta.transitionrules.turbotransitionrules,TurbotransitionrulesFactory,0,3,0,0,0,1,0,1,0,1
report.aggregate/asmeta.emf,asmeta.transitionrules.turbotransitionrules,TurbotransitionrulesPackage.Literals,64,0,0,0,21,0,1,0,1,0
report.aggregate/asmeta.emf,asmeta.transitionrules,TransitionRulesFactory,0,16,0,0,0,6,0,6,0,6
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,BlockRuleImpl,60,42,13,3,18,11,12,4,5,3
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,BasicRuleImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,BasictransitionrulesFactoryImpl,120,81,17,1,26,28,21,13,7,13
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,ForallRuleImpl,223,125,52,14,51,36,43,12,6,10
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,UpdateRuleImpl,163,43,34,6,39,14,29,5,7,5
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,BasictransitionrulesPackageImpl,45,1399,10,14,9,194,19,38,9,36
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,MacroDeclarationImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,TermAsRuleImpl,197,91,42,10,44,26,35,7,8,6
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,ConditionalRuleImpl,223,122,48,17,47,40,41,12,6,10
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,LetRuleImpl,153,80,36,10,37,24,30,9,5,7
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,ExtendRuleImpl,209,76,45,10,48,24,39,7,8,6
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,ChooseRuleImpl,282,175,65,22,61,52,54,17,6,13
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,SkipRuleImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,MacroCallRuleImpl,127,62,28,6,32,17,24,6,6,5
report.aggregate/asmeta.emf,asmeta.transitionrules.basictransitionrules.impl,RuleImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.definitions,DefinitionsPackage.Literals,127,0,0,0,42,0,1,0,1,0
report.aggregate/asmeta.emf,asmeta.definitions,DefinitionsPackage,0,3,0,0,0,1,0,1,0,1
report.aggregate/asmeta.emf,asmeta.definitions,DefinitionsFactory,0,3,0,0,0,1,0,1,0,1
report.aggregate/asmeta.emf,asmeta.definitions.domains.util,DomainsAdapterFactory,96,0,8,0,39,0,35,0,31,0
report.aggregate/asmeta.emf,asmeta.definitions.domains.util,DomainsSwitch,1135,0,308,0,249,0,197,0,31,0
report.aggregate/asmeta.emf,asmeta.definitions.domains.util,DomainsAdapterFactory.new DomainsSwitch() {...},118,0,0,0,29,0,29,0,29,0
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.util,FurthertermsAdapterFactory.new FurthertermsSwitch() {...},122,0,0,0,30,0,30,0,30,0
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.util,FurthertermsSwitch,861,0,220,0,201,0,153,0,32,0
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.util,FurthertermsAdapterFactory,98,0,8,0,40,0,36,0,32,0
report.aggregate/asmeta.emf,asmeta.transitionrules.turbotransitionrules.util,TurbotransitionrulesSwitch,262,0,61,0,68,0,50,0,16,0
report.aggregate/asmeta.emf,asmeta.transitionrules.turbotransitionrules.util,TurbotransitionrulesAdapterFactory.new TurbotransitionrulesSwitch() {...},58,0,0,0,14,0,14,0,14,0
report.aggregate/asmeta.emf,asmeta.transitionrules.turbotransitionrules.util,TurbotransitionrulesAdapterFactory,66,0,8,0,24,0,20,0,16,0
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,ExistTermImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,ConditionalTermImpl,230,63,48,10,53,20,40,8,8,7
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,FiniteQuantificationTermImpl,176,86,38,10,43,22,32,10,7,7
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,BagCtImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,EnumTermImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,ComprehensionTermImpl,237,96,52,12,56,26,43,11,8,8
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,FurthertermsPackageImpl,81,1452,10,14,21,212,31,30,21,28
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,MapTermImpl,57,17,12,2,18,5,11,3,5,2
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,ForallTermImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,CaseTermImpl,222,96,50,12,53,26,41,11,7,8
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,RealTermImpl,2,3,0,0,1,2,1,1,1,1
report.aggregate/asmeta.emf,asmeta.terms.furtherterms.impl,IntegerTermImpl,2,3,0,0,1,2,1,1,1,1
